UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0.397538154,56,17,0,0.507049295,10000,8,0,2,0,0
0.195263996,40,7,0,0.059309206,7266,2,0,0,0,3
0.747477502,42,10,3,0.772524112,4250,10,0,2,1,1
0.018633237,42,13,0,0.078545866,5308,8,0,1,0,0
0.547012473,78,26,0,0.409967846,1865,4,0,0,0,0
0.018051725,50,13,0,0.717687693,5500,13,0,1,0,2
0.9999999,79,25,0,0,3301,3,0,0,0,0
0.147852148,30,5,0,0.089055347,4805,5,0,0,0,1
0.259425386,74,22,0,0.877824019,3363,14,0,2,0,0
0.12643742,44,13,0,0.557600762,3150,7,0,1,0,0
0.09391903,36,6,0,0.451840645,5948,6,0,2,0,0
0.469306139,61,16,0,0.157536985,2500,4,0,0,0,0
0.439184865,51,19,0,0.8485198,2600,12,0,1,0,2
0.000777749,61,23,0,0.420289855,2000,5,0,1,0,0
0.186435693,45,9,0,0.491251458,6000,10,0,4,0,2
0.082702441,69,32,0,0.906515581,2470,14,0,1,0,0
0.117314234,38,8,0,0.439312138,5000,16,0,2,0,1
0.036321995,78,31,0,0.132783019,4239,10,0,1,0,0
0.300139972,48,14,0,0.107766143,4583,4,0,1,0,0
0.326086586,49,15,0,0.375762989,6716,9,0,1,0,0
0.221403994,64,24,0,0.431313737,3333,12,0,1,0,0
0.047722956,69,25,0,0.0119984,7500,4,0,0,0,0
0.922155689,36,8,3,0.934217437,7615,8,0,2,0,4
0.227633633,36,10,0,0.738091367,6150,16,0,2,0,1
0.16714232,54,22,0,0.225976769,10416,13,0,1,0,0
0.9999999,55,18,0,0.510748925,10000,9,0,3,0,2
0.502325994,72,32,0,0.233426093,12217,17,0,1,0,0
0.918112931,56,22,0,0.450492183,5180,11,0,1,0,0
0.040035954,47,16,0,0.34152264,7000,14,0,1,0,0
0.352365537,49,11,0,0.275347712,9921,7,0,2,0,3
0.417007407,47,11,0,0.336142831,11033,11,0,2,0,3
0.01158314,53,15,0,0.385361464,10000,6,0,3,0,2
0.004716588,64,17,0,0.057563205,7000,10,0,0,0,0
0.386398869,54,18,1,0.552647323,6685,18,0,2,0,0
0.003643199,39,9,0,0.493761996,4167,13,0,2,0,2
0.032451432,31,4,0,0.28718792,6688,5,0,1,0,0
0,78,34,0,0.143241167,2603,6,0,0,1,0
0.062391958,58,20,0,1164,0,9,0,1,1,2
0.03281008,56,19,0,0.894694748,3750,10,0,2,0,2
0.40924545,41,11,0,0.561839474,3500,6,0,1,0,0
0.020893637,51,17,0,0.347374034,3750,10,0,1,0,3
0.007625256,48,17,0,0.504706832,7435,8,0,3,0,7
0.96007984,23,1,0,0.082138201,2300,1,0,0,0,0
0.781208772,49,13,0,0.671847194,8428,17,0,2,0,1
0.193757677,55,21,0,1.066431511,1700,9,0,2,0,0
0.527705346,61,23,0,0.289832348,8290,9,0,2,0,1
0.652143838,78,30,1,1.065624432,5500,20,0,4,0,0
0.087789051,72,28,2,0.153569717,8347,15,0,1,0,2
0.108588161,61,25,0,0.22951068,6600,11,0,1,0,0
0.919054047,34,5,0,0.294141172,5000,6,0,0,0,0
0.044543835,30,5,0,0.102579484,3333,10,0,0,0,0
0,65,24,0,0.404606693,2300,10,0,0,0,0
0.126290196,61,26,0,0.162867824,16583,9,0,2,0,0
1.473053892,49,16,2,0.160306616,6000,4,1,0,1,6
0.170768846,48,16,0,0.324675325,2771,8,0,1,0,2
0.33688421,56,21,2,0.666811186,9225,10,0,4,0,1
0.194426852,74,34,0,0.252118644,9439,9,0,2,0,0
0.979944003,57,21,0,0.265145555,5083,8,3,0,0,0
0.211450225,57,17,0,0.774560496,2900,10,0,1,0,0
0,35,8,0,0.203759077,2340,7,0,0,0,0
0.364121623,82,40,0,0.708287895,1833,14,0,1,0,0
0.15739213,41,9,0,0.468437589,3500,10,0,1,0,3
0,26,3,0,0.036895977,4200,4,0,0,0,0
0.53315953,48,12,0,0.927636277,4200,7,0,2,0,0
0.9999999,38,7,98,0,1600,0,98,0,98,2
0.116788321,50,13,0,0.427260813,1525,11,0,0,0,1
0.204381719,79,35,0,0.249087395,4656,10,0,1,0,0
0.305573037,28,4,0,0.041015625,3583,8,0,0,0,0
0.226594849,47,13,0,0.732042473,1600,15,0,0,0,0
0.114496275,40,12,0,0.467928011,6500,11,0,2,0,1
0,68,28,0,0,5399,7,0,0,0,0
0.604342237,36,9,0,1.419165197,1700,4,0,2,0,2
0.529437903,29,4,0,0.198314108,2253,4,0,0,0,0
0.972780298,47,17,5,0.800286123,3494,9,1,1,3,0
0.348961227,33,6,0,0.555877483,2415,6,0,1,0,0
0.037332711,64,18,0,0.071971212,2500,5,0,0,0,0
0.004293865,53,20,0,0.404159584,10000,8,0,2,0,0
0.004437886,79,27,0,0.022038237,25001,11,0,0,0,1
0.712168218,62,15,0,0.352348993,3575,10,0,1,0,0
0.011996267,69,39,0,0.044558698,3500,31,0,1,0,0
0,38,9,0,0.770041609,3604,7,0,1,0,1
0.005450619,52,15,0,0.141905026,3600,7,0,1,0,1
0.003784472,62,26,0,0.186792949,3800,11,0,0,0,0
0.741381525,35,5,0,0.348688561,4536,7,0,1,0,4
0.86289811,78,22,0,2.00039992,5000,12,0,3,0,0
0.9999999,25,2,0,0,350,1,0,0,0,0
0.072166811,46,16,0,0.021894278,8266,9,0,0,0,0
0.162123992,81,34,0,0.290742751,6448,14,0,2,0,0
0.050256448,52,17,0,0.575769692,2500,14,0,1,0,0
0.563458856,45,10,5,0.706010929,914,8,0,0,0,0
0.525915301,56,13,0,1.710520981,4932,11,0,1,0,0
0.026973027,22,0,0,0,898,2,0,0,0,0
0.314993545,35,6,0,0.476446412,6325,11,0,2,0,1
0.234728925,31,5,0,0.360963904,10000,9,0,2,0,0
0.32225321,41,13,0,0.548653692,3750,7,0,1,0,1
0.032995286,62,23,0,568,0,6,0,1,0,0
0.622328227,28,2,0,0.043182302,4700,3,1,0,0,3
0.843031394,48,17,2,0.956801142,2800,8,0,1,1,2
0.03961239,64,19,0,0.015196961,5000,3,0,0,0,0
0.968572925,64,23,1,0.549556036,4166,11,0,2,0,0
0.008739924,62,21,0,0.222328885,10416,13,0,1,1,0
0.309332644,51,13,0,0.237251821,7000,15,0,1,0,2
0.435152344,54,21,2,0.264694122,2500,7,0,0,0,0
0.036520072,53,16,0,0.109297782,8700,9,0,0,0,3
0.220010338,48,19,0,0.646096816,4585,17,0,3,0,3
0.070692931,47,12,0,0.327997386,3060,7,0,0,0,1
0.9999999,28,4,2,0.174389739,4833,10,1,0,0,0
0.222277776,55,13,0,0.591416814,1700,2,0,1,0,3
0.021482581,62,18,0,0.201020408,2939,5,0,0,0,0
0.541899165,40,10,0,0.585263443,7382,9,0,1,0,3
0.003562389,60,20,0,0.163467307,3333,4,0,1,0,0
0.712006984,33,7,0,0.298464834,2800,7,0,0,2,0
0.858942857,40,12,1,0.287987201,22500,11,0,2,0,2
0.020387528,46,17,0,0.530185759,3875,12,0,2,0,1
0.234334328,33,5,0,1.097686375,3500,7,0,2,0,2
0.022093855,73,21,0,0.088539594,5025,10,0,0,0,0
0,21,0,0,0,840,1,0,0,0,0
0.005695405,55,21,0,0.226549852,10500,9,0,1,0,0
0.843793814,31,6,1,0.377043597,5871,8,3,1,1,4
0.011397237,37,6,0,0.647736362,6250,6,0,3,0,3
0.539122265,45,12,0,0.490088638,6204,7,0,2,1,0
0.9999999,31,6,1,0.239732349,4333,6,0,0,0,0
0.749158616,37,11,0,0.638952288,9200,16,0,4,0,5
1.870431894,72,27,2,0.12114493,4960,2,1,0,2,1
0.676323676,30,5,0,0.250711093,2460,7,0,0,0,0
0.21687593,33,8,0,0.322048155,9510,16,0,2,0,0
0.138416598,44,11,0,0.154309505,11288,10,0,2,0,4
0.9999999,50,17,0,0.153115847,9900,3,0,1,0,0
0,60,24,0,0.561864186,11500,8,0,2,0,0
0.527757217,51,13,0,0.317929349,4500,11,0,1,0,0
0.832763635,55,16,0,0.397169666,6500,10,0,2,0,0
0,52,16,0,0.050261476,6883,2,0,0,0,0
0.516912162,39,10,0,0.747080467,6250,11,0,2,0,3
0,42,8,1,2349,0,7,0,2,1,2
0.9999999,38,10,0,0.01396311,5800,6,0,0,0,3
0.296703297,26,3,1,0.003384535,3840,4,0,0,1,0
263,62,25,0,0.16177301,7083,3,0,1,0,0
0.015641293,81,31,1,0.00339932,5000,7,0,0,0,0
0.328991564,57,17,1,0.811800812,10100,12,0,5,0,0
0.012484596,62,27,0,0.575304668,4348,10,0,2,0,1
0.984209539,40,12,0,0.467387321,5457,5,0,2,0,4
0.55457638,37,8,0,0.364181662,3500,10,0,0,0,1
0.048605649,72,23,0,0.215996982,5300,9,0,1,0,0
0.57478563,47,13,2,0.753804834,3350,8,0,1,0,0
0.010807862,63,18,0,0.073963018,2000,10,0,0,0,0
0.9999999,51,10,2,1.629609246,1816,4,1,1,1,0
0.173422218,47,13,0,0.472269958,6400,9,0,1,0,1
0.020759585,80,37,0,0.008079229,3836,6,0,0,0,0
0.9852141,45,13,1,0.275768042,5500,9,2,0,0,0
0.484370418,48,10,0,0.330266437,5216,6,0,0,0,1
0,47,12,0,0.38557658,2800,13,0,1,0,0
0.069791203,71,24,0,0.043991202,5000,10,0,0,0,1
0.056199603,59,27,0,0.433297245,8312,16,0,2,0,0
0.431451082,71,31,0,0.350463954,1400,4,0,0,0,0
0.727030546,36,10,0,0.174353026,25000,20,0,1,0,2
0.274633124,44,9,0,0.415146213,4000,9,0,2,0,1
0.9999999,51,14,0,0.468961996,13708,5,0,2,0,3
0.149059334,28,3,0,0.721568627,764,5,0,0,0,0
0.31318566,82,25,1,0.245529706,5200,15,0,1,0,0
0.03349665,40,13,0,0.541113601,5800,13,0,2,0,0
0.409518483,53,19,0,0.527190665,9083,9,0,3,0,0
0.824140223,60,19,0,0.271887495,14505,6,0,1,0,0
0.418764442,42,13,0,1.564885496,1833,9,0,1,0,0
0.735079144,74,25,0,0.350494199,11634,10,0,2,0,0
0.155762144,65,33,0,1.237381309,2000,22,0,2,0,0
0.295612281,34,8,0,0.337824251,4972,9,0,2,0,1
0.014275832,64,26,0,0.006058311,2640,4,0,0,0,0
0.699119893,30,4,0,1.800088849,2250,11,0,2,0,1
0.016238822,54,14,1,0.727909011,8000,13,0,3,0,0
0.016010354,34,7,0,0.683644416,3160,15,0,1,0,0
0.069349477,32,6,0,0.030387845,2500,8,0,0,0,0
0.184678102,65,22,0,0.41265919,5260,9,0,3,0,0
0.902712816,39,7,0,0.033976579,6062,3,1,0,0,3
0.540983258,49,18,0,0.3782495,6500,12,0,1,0,0
0.289689654,70,37,0,0.854762145,9900,31,0,4,0,0
0.813636407,51,19,0,0.520084702,15583,19,0,1,0,0
0,50,15,1,0.179267016,19099,9,0,1,0,6
0.401988062,48,15,0,0.643633203,2300,6,0,1,0,0
0.9999999,46,8,0,0.0089995,18000,2,2,0,0,0
0.207635887,69,25,0,0.266996763,5250,11,0,1,0,1
0.036330911,46,10,0,0.249653899,6500,4,0,1,0,1
0,21,0,0,0,1,1,0,0,0,0
0.006359746,46,14,0,0.548252478,3833,5,0,1,0,1
0.957322278,44,8,0,0.184491716,10200,6,0,0,0,2
0,58,23,0,0.255262151,5225,6,0,1,0,1
0.054809128,73,26,0,0.008279338,8333,2,0,0,0,0
0.9999999,37,9,0,0.166466707,3333,4,0,0,0,0
1.694352159,34,7,0,0.311339617,3500,3,2,0,2,2
0.228791386,53,15,0,0.333611065,6000,12,0,2,0,0
0.807012516,55,23,0,1.147950683,3000,14,0,1,0,1
0.089177201,50,12,0,0.376603899,6000,10,0,1,0,1
0.151712559,46,17,0,0.474679418,4600,15,0,2,0,0
0.062549864,37,9,0,0.026805997,2200,16,0,0,0,1
0.032102341,63,23,0,0.014538846,2200,9,0,0,0,0
0.03245307,73,23,0,0.00280299,7491,5,0,0,0,0
0.822818037,45,13,1,0.496188496,10100,5,0,2,0,0
1.183686696,53,20,4,0.129407051,4991,11,8,0,4,0
0.032557586,32,4,0,0.364713121,6500,9,0,2,0,0
0.1053958,51,18,0,0.383230967,7000,7,0,1,0,1
0.026870481,71,33,0,0.192989691,4849,9,0,1,0,1
0,44,11,0,0.184281572,10000,6,0,1,0,3
0.977567445,43,10,1,0.957042254,4259,19,0,2,0,2
0.314572726,33,6,0,0.815402477,2583,10,0,1,0,0
0.778994968,28,3,0,0.219630415,3300,6,0,0,0,4
0,55,15,0,0.304342207,7737,6,0,1,0,0
1.001537673,53,13,0,0.026315789,3077,4,0,0,0,0
0.942205779,45,8,0,0.080548415,3500,2,0,0,0,0
0.6477961,62,26,0,0.781399808,7300,13,0,1,0,0
0.447780284,68,22,0,0.328774423,5629,9,0,1,0,0
0.0280148,44,16,0,0.217520171,6072,14,0,1,0,2
0.316143309,54,22,0,0.671907323,4833,10,0,2,0,3
0.011718184,67,29,0,0.192330737,1668,7,0,1,0,0
0,40,6,0,0.109810748,27000,4,0,2,0,2
0.9999999,38,9,0,782,1,1,0,1,0,0
0.375595591,63,15,1,0.26507736,6333,4,0,1,0,1
0.325789118,58,14,0,0.82793093,3300,7,0,2,0,1
0.83433454,32,6,1,0.531440162,9366,19,0,2,0,3
0.9999999,58,17,0,0.252887356,6666,5,0,0,0,0
0.122844727,51,15,0,0.293524096,6639,5,0,1,0,0
0.25513142,47,14,0,1.05155642,3083,11,0,2,0,2
0.882847624,35,10,0,0.673176066,6400,31,0,0,0,0
0.013663636,76,25,1,0.010970175,5833,6,0,0,0,0
0,44,8,3,0.460021081,6640,8,0,2,0,2
0.382214565,49,16,0,0.612193903,2000,11,0,0,0,0
0.250096149,46,16,0,0.223347805,8291,9,0,1,0,0
0.240486296,48,16,0,0.08667676,5283,3,0,0,0,1
0.176848151,53,15,0,0.24174751,15358,12,0,2,0,2
0.596894278,27,2,1,0.321769297,2305,4,1,0,0,2
0.419924619,61,23,2,0.937430581,2700,19,0,1,0,0
0,74,28,0,0.00723589,7600,5,0,0,0,1
0.025024358,49,12,0,0.357403587,6300,6,0,0,0,4
0.58891704,71,22,0,0.275563258,7500,4,0,1,0,0
0.007912451,54,17,0,0.280953174,6000,16,0,1,0,0
0.288772044,45,14,0,0.326574173,8432,12,0,2,0,4
0.526486241,42,9,0,0.591552676,8333,9,0,3,0,2
0.038328706,48,13,0,0.081274104,7000,6,0,0,0,0
0.037603409,34,7,0,0.912043978,2000,12,0,1,0,2
0.075441311,69,27,0,0.36025621,6400,15,0,2,0,0
0.045132981,79,34,0,0.008693934,5060,4,0,0,0,0
0.001722738,70,25,1,0.305246317,15000,17,0,3,0,0
0.204994605,44,13,0,0.226118033,10352,6,0,2,0,1
0.729310528,28,3,0,0.27408143,2013,6,0,0,0,0
0.000977734,55,16,0,0.132192846,4500,6,0,1,0,0
0.617288652,44,14,1,0.092993358,4666,2,1,0,0,1
0.588246032,64,26,0,0.434609703,8800,16,0,1,0,2
0.097102251,62,19,0,0.138013881,7491,9,0,1,0,0
0.935508991,46,17,1,0.464391924,6388,18,0,2,0,4
0.101267533,35,8,0,0.115523466,2492,5,0,0,0,0
0.102170317,52,20,0,0.308732502,10500,11,0,2,0,0
0.312540846,58,28,0,0.669945076,7828,27,0,2,0,0
0.023671866,75,27,0,0.156969697,4949,10,0,1,0,0
0.019927464,39,8,0,0.673293455,5683,3,0,1,0,0
1.122822051,26,2,0,0.111185532,2985,6,0,0,0,0
0.096434764,33,5,0,0.271889401,6075,4,0,2,0,2
0.004112737,39,9,0,0.248252563,8583,9,0,2,0,2
0.877196324,39,9,0,0.237104273,4516,4,0,0,0,1
0.008367023,68,28,0,0.478132885,2377,16,0,1,0,0
0.246461527,49,19,1,0.150408457,4161,11,0,0,0,1
0.070392278,59,19,1,0.406345067,13805,21,0,3,0,0
0.26004956,35,7,0,0.29788714,11500,13,0,2,0,2
0.211877484,80,36,1,0.219363395,3769,13,0,0,0,0
0.009601288,71,29,0,0.187965824,5500,20,0,1,0,0
0.645991775,56,22,1,0.566985114,4500,19,1,1,0,0
0.105985735,42,8,1,0.565924658,4671,9,0,2,0,4
0.9999999,53,17,1,1.673566879,1255,1,0,1,1,1
0.044164749,46,16,0,0.172543418,13300,9,0,2,0,4
0.042715038,64,24,0,0.175140374,13000,10,0,1,0,0
