UtilizationOfUnsecuredLinesTotal,Age,CustomerLifeTime,NumberOfTime30_59DaysLateNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.191990858,44,11,0,1635,6670.221237,7,0,1,0,0,No
0,38,9,0,0.497682029,11000,9,0,2,0,1,No
0.78905745,40,7,0,0.813105676,2166,8,0,2,0,1,No
0,38,10,0,0.153250189,5291,9,0,2,0,0,No
0.13321686,55,15,0,0.498488255,12898,14,0,3,0,0,No
0.068284414,59,16,0,0.190425693,6600,9,0,2,0,2,No
0.297412128,38,9,0,0.490137801,3700,5,0,1,0,1,No
0.033822866,70,25,0,0.015577276,3273,3,0,0,0,4,No
0.121272366,38,9,1,0.38845318,10582,11,0,3,2,3,No
0.565350854,51,16,1,0.367516918,9604,12,0,2,0,5,No
0.622179976,58,20,0,0.35302816,15553,11,0,2,0,1,No
0.133385309,30,3,0,0.366782007,2311,4,0,0,0,0,No
0.534472428,55,16,0,2488,6670.221237,12,0,1,0,0,No
0.816761452,35,5,0,0.399517408,2900,8,0,0,0,2,No
0.9999999,77,23,0,0.120391974,2142,2,0,0,0,0,No
0.9999999,75,26,0,24,6670.221237,1,0,0,0,0,No
0.493429371,31,5,0,0.476125043,2910,15,0,0,0,1,No
0.089647759,46,10,0,0.227915424,7708,5,0,1,0,2,No
0,39,7,0,0,6670.221237,2,0,0,0,0,No
0.219478204,48,15,0,0.724534433,8000,17,0,3,0,0,No
0.047271425,59,18,0,0.00910107,6262,3,0,0,0,0,No
0.015815728,73,19,0,0.007996801,2500,5,0,0,0,0,No
0,40,8,0,0.903654485,300,6,0,0,0,3,No
0.9999999,40,7,1,0.101023018,3127,4,0,0,0,0,No
0.410911818,81,31,0,0.274338403,8350,6,0,3,0,1,No
0.310528366,63,21,2,0.400635633,5348,9,0,1,0,1,No
0.093247766,65,24,1,17671,6670.221237,17,0,5,0,2,No
0.9999999,58,13,0,28,6670.221237,3,1,0,0,0,No
0,49,12,0,0.410928558,5416,8,0,2,0,2,No
0.689192567,40,10,3,0.03209525,7726,5,0,0,0,1,No
0.351122793,31,5,0,0.294852574,2000,5,0,0,0,0,No
0.183526589,24,1,0,0.002888247,4500,1,0,0,0,0,No
0.016742391,66,17,0,0.120870982,6750,7,0,1,0,0,No
0.9999999,39,10,2,0.513939571,6850,6,0,2,0,2,No
0.9999999,22,0,0,9,6670.221237,0,0,0,0,0,No
0.001679481,52,14,0,0.326449413,15833,13,0,3,0,2,No
0.080303574,32,4,0,0.059580879,7300,3,0,0,0,3,No
0.127091861,67,23,0,0.433624547,4692,8,0,1,0,1,No
0.147452386,46,12,0,155,0,8,0,0,0,0,No
0.137686231,58,14,0,0.006832195,6000,2,0,0,0,1,No
0.202586997,55,19,0,0.333369696,18333,24,0,2,0,0,No
0.101401534,68,24,0,212,6670.221237,5,0,0,0,0,No
0.220807155,58,16,2,725,0,14,0,0,1,1,No
0.654638727,38,8,0,0.05399568,4166,4,0,0,0,0,No
0.651602618,51,13,1,2336,6670.221237,12,0,0,0,0,No
0.093185825,50,12,0,2057,6670.221237,4,0,1,0,0,No
0.001999944,82,26,1,0.069120287,4455,5,0,1,0,1,No
0,57,15,0,0.179358717,7983,4,0,2,0,0,No
0.691482592,29,4,1,0.10592716,4200,4,0,0,0,0,No
0.222918462,63,22,0,0.986128771,8650,12,0,3,0,0,No
0.012865069,66,24,0,0.07411357,3750,7,0,0,0,0,No
0.011632946,84,23,0,0.978311029,2166,4,0,0,0,0,No
0.006553052,56,15,1,613,6670.221237,14,0,0,0,0,No
0.069987933,33,6,0,0.114004783,3762,7,0,0,0,0,No
0,49,15,0,0.927870461,2037,7,0,1,1,1,No
0.9999999,36,5,0,0.024890942,3896,1,3,0,1,1,No
0.321357285,21,0,0,0.000412925,9686,2,0,0,0,0,No
0.004411635,71,25,0,776,6670.221237,4,0,1,0,0,No
0.002814745,45,14,0,0.11387089,8333,8,0,2,0,0,No
0.715308227,49,10,0,0.705622646,7700,7,0,2,0,0,No
0.01339933,71,26,0,0.01283697,2336,3,0,0,0,1,No
0.032855265,38,7,0,0.211159915,6146,6,0,2,0,1,No
0.374651093,37,7,0,4539,0,11,0,1,0,2,No
0.924410079,43,12,0,0.567490359,7000,7,0,2,0,0,No
0.951566952,29,4,1,0.028248588,530,3,0,0,0,0,No
0.026951421,58,13,0,0.413078725,5550,6,0,2,0,0,No
0.761210955,41,12,0,0.974982982,5875,16,0,2,0,2,No
0.539401317,65,17,0,0.377253064,11095,5,0,2,0,0,No
0.9999999,57,20,0,0.248280275,6250,7,0,1,0,1,No
0.452795449,40,10,1,0.57904818,6786,10,0,1,0,4,No
0.160542855,41,8,0,0.180370741,13000,12,0,0,0,2,No
0.311597405,48,12,0,0.478300678,5460,14,0,1,0,0,No
0.007866404,48,12,0,996,6670.221237,4,0,1,0,0,No
0.068741446,49,12,0,0.202574452,9166,12,0,2,0,4,No
0.156047688,81,31,0,0.236595607,6191,12,0,2,0,0,No
0.020783499,61,20,0,0.012489592,1200,2,0,0,0,0,No
0.292670733,55,12,0,2642,6670.221237,4,0,1,0,3,No
0.724461941,38,7,0,0.383682176,7500,7,0,1,0,1,No
0.543311907,51,13,1,0.134180965,8100,9,0,0,1,1,No
0.015098405,65,19,0,0.092534903,26000,12,0,1,0,1,No
0,53,15,0,326,6670.221237,2,0,1,0,0,No
0.015316115,49,16,0,0.19060158,4936,11,0,0,0,0,No
0.718843501,53,16,0,0.297683374,16100,14,0,3,0,1,No
0.038248068,50,14,1,0.010907851,8800,7,0,0,0,1,No
0,57,15,0,0.031855091,1600,4,0,0,0,1,No
0.063348416,63,16,0,1194,6670.221237,5,0,1,0,1,No
0.9999999,44,8,0,10,6670.221237,0,0,0,0,0,No
0.047671644,52,14,0,0.334110982,6000,10,0,2,0,2,No
0.622229628,51,12,0,1.518987342,1500,3,0,1,0,0,No
0.966016992,35,7,0,0.144285238,3000,2,0,0,0,3,No
0.026211651,61,18,0,557,6670.221237,7,0,1,0,0,No
0.028960166,75,26,0,0.275980206,5253,6,0,1,0,0,No
0.250943944,48,10,0,0.222246456,4584,7,0,1,0,0,No
0.158945959,41,11,0,0.607469627,6666,8,0,1,0,0,No
0.782652168,30,4,3,187,6670.221237,5,0,0,0,0,No
0.002846099,55,16,0,3133,6670.221237,19,0,1,0,0,No
0,34,7,0,2.588555858,1100,6,0,1,0,1,No
1.049611568,44,11,0,0.589675828,5675,8,0,1,2,0,No
0.072930206,51,16,0,0.437311799,7305,21,0,1,0,0,No
0.018063758,67,20,0,0.234086242,4382,14,0,1,0,0,No
0.108680707,55,16,0,0.155986643,6288,7,0,1,0,0,No
0.882254903,55,15,0,0.914584924,9166,16,0,2,0,1,No
0.07114997,75,28,0,87,6670.221237,5,0,0,0,1,No
0.118344083,52,12,0,0.167255516,15000,5,0,1,0,4,No
0,36,5,0,0.075184963,5000,3,0,0,0,0,No
0.000575061,65,22,0,0,12000,7,0,0,0,0,No
0.461724791,64,18,0,0.258616288,7833,9,0,1,0,0,No
0.9999999,51,15,0,2581,6670.221237,11,0,1,0,4,No
0.181922557,63,25,0,0.68951049,5004,15,0,3,0,2,No
0.9999999,48,9,0,0.000403063,2480,1,0,0,0,3,No
0,74,27,0,509,6670.221237,11,0,1,0,0,No
0.552236868,47,10,0,0.132120489,6705,7,0,0,0,1,No
0,75,26,0,1110,6670.221237,4,0,1,0,0,No
0.095076631,29,3,0,0.669693175,3193,7,0,1,0,0,No
0,45,12,1,0.069451884,5600,9,0,0,0,2,No
0.060175734,62,13,0,0.014996251,4000,2,0,0,0,1,No
0.155844156,77,23,0,0.00159936,2500,4,0,0,0,0,No
0.016773843,58,18,0,0.08249057,18292,9,0,1,0,5,No
0.883674215,63,25,0,0.245298013,3774,13,0,0,0,1,No
0.044062892,59,18,0,0.395579612,6650,8,0,1,0,0,No
0.277560039,76,35,0,0.345329906,3500,21,0,1,0,0,No
0.066266066,44,14,0,0.335653148,12500,13,0,2,0,1,No
0,49,10,0,0,6670.221237,3,0,0,0,0,No
0.426137381,64,26,0,0.362113228,7400,17,0,0,0,1,No
0.031048448,82,34,0,0.376161487,3120,7,0,2,0,0,No
0.036526066,55,14,0,0.14900229,6113,7,0,0,0,2,No
0.301137503,61,21,1,0.279019558,7873,7,0,1,0,0,No
0.59769631,39,9,0,1746,6670.221237,7,0,1,0,3,No
0.140296443,60,22,0,0.58242927,4700,11,0,2,0,0,No
0,60,15,0,0.358372457,1916,2,0,1,0,0,No
0.354721916,57,22,0,6659,6670.221237,28,0,2,0,0,No
0.069540939,87,36,0,740,6670.221237,7,0,0,0,0,No
0,64,20,1,0.188603799,3000,5,0,0,0,0,No
0.9999999,51,12,0,0.085374388,1428,4,0,0,0,1,No
0.596795579,57,17,0,0.107873604,32500,13,0,1,0,0,No
0.539064769,63,21,0,0.402571269,8944,6,0,2,0,1,No
0.025614209,61,20,0,0.166715672,3400,4,0,1,0,0,No
0.026401044,27,3,0,0.009560229,1568,3,0,0,0,0,No
0.176292651,38,8,0,473,6670.221237,6,0,0,0,3,No
0.389445482,50,15,0,0.57543717,4917,8,0,2,0,1,No
0.55748084,36,6,0,0.350128535,3889,4,0,1,0,3,No
0.9999999,31,4,2,0.226395409,5750,2,1,1,0,3,No
0.066335751,61,22,0,0.868065967,2000,9,0,2,0,0,No
0.264878839,60,19,0,0.305337195,9667,7,0,2,0,1,No
0.019163239,49,13,0,0.19841885,6450,9,0,2,0,2,No
0.19709343,51,12,0,1733,6670.221237,4,0,2,0,0,No
0.014532791,57,13,0,0.008212749,2556,3,0,0,0,0,No
0.025252787,60,19,0,0.218878112,10000,11,0,1,0,0,No
0.9999999,65,21,0,0.165706974,3125,5,0,1,0,0,No
0,45,8,0,0,5000,4,0,0,0,0,No
0.041122442,51,11,0,0.012130569,4533,4,0,0,0,0,No
0.00280939,81,27,0,400,6670.221237,5,0,0,0,0,No
0.014234392,82,37,0,0.009425878,3500,14,0,0,0,0,No
0,43,11,0,0.451416208,5083,12,0,3,0,1,No
0.310043001,55,17,0,1.173427396,1700,14,0,0,0,2,No
0.014474567,81,30,0,539,6670.221237,11,0,1,0,0,No
0.761095323,47,12,0,1828,6670.221237,7,0,0,0,0,No
0.075535252,43,10,0,0.197537582,14700,10,0,3,0,2,No
0.712664367,45,11,0,0.25831667,5500,3,0,2,0,0,No
0.17160365,32,5,0,0.261156329,7125,9,0,1,0,3,No
0.364770013,51,14,0,1.315731917,6400,12,0,2,0,4,No
0.059835371,51,13,0,0.065546723,13333,8,0,0,0,5,No
0,66,23,0,1,6670.221237,8,0,0,0,0,No
0,57,14,0,0.122990161,8333,6,0,2,0,0,No
0.024393411,49,11,0,0.157692023,13500,6,0,2,0,0,No
0.299259202,61,23,0,0.213910512,15800,9,0,2,0,1,No
0.951836409,45,13,0,0.560858552,7500,15,0,2,0,1,No
0.03428148,64,27,0,0.477052295,10000,17,0,4,0,2,No
0.9999999,56,18,0,0.266593727,2741,3,0,0,0,1,No
0.08493347,46,15,1,0.596714579,4869,18,0,1,0,3,No
0.031779713,52,11,0,1801,6670.221237,5,0,1,0,0,No
0.085826119,69,23,0,90,6670.221237,6,0,0,0,0,No
0.798378912,45,13,0,0.678045993,7000,11,0,1,0,2,No
0.002051177,59,17,1,0.244547957,4722,11,0,1,0,1,No
0.018783653,36,8,0,1.913366931,4166,9,0,5,0,0,No
0.137251932,28,3,0,0.251952108,1920,6,0,0,0,0,No
0,41,9,0,0.288835507,8741,7,0,1,0,2,No
0.051562699,36,7,0,0.307724356,12000,9,0,3,0,1,No
0.0177463,69,27,0,0.210714727,8100,11,0,1,0,0,No
0,81,30,0,0,8333,3,0,0,0,0,No
0.168397993,76,27,0,0.729121475,3687,18,0,1,0,0,No
0.046910205,63,14,0,0.06127451,5303,4,0,0,0,0,No
0.070237124,46,10,0,0.353740664,8166,10,0,1,0,0,No
0.026680405,48,14,0,0.232529375,4850,6,0,1,0,0,No
0.121369511,64,23,0,0.138699464,8211,6,0,1,0,0,No
0.669014527,39,8,0,0.62037962,1000,6,0,0,0,0,No
0,54,18,0,0.493422553,13150,5,0,4,0,0,No
0.295461898,78,25,0,3522,6670.221237,8,0,1,0,0,No
0.909552261,49,12,0,4898,0,6,0,2,0,0,No
0.055082567,69,18,0,0.00559888,5000,3,0,0,0,0,No
0.533282224,41,8,0,0.178109197,11666,4,0,1,0,2,No
0.128205662,62,19,0,0.222581447,16083,8,0,2,0,0,No
0.168926474,83,31,0,0.107166778,2985,4,0,0,0,0,No
0.30202768,61,28,0,0.385449136,14115,27,0,2,0,1,No
0.009137706,61,16,0,11,6670.221237,6,0,0,0,0,No
0.128196431,64,27,0,0.408899364,14000,34,0,4,0,0,No
0.000714235,37,7,0,0.504510756,1440,4,0,0,0,1,No
0.962085089,66,24,0,0.589002391,4600,12,0,1,0,0,No
0.126834927,49,16,0,0.724545909,6000,15,0,2,0,0,No
0.182718967,42,8,0,0.114455681,8404,4,0,0,0,0,No
0.591602199,69,22,0,0.533155615,3000,7,0,0,1,0,No
0.157716304,58,13,1,1.063217724,8620,5,0,1,0,2,No
0.101894851,63,23,0,0.596380471,2375,5,0,2,0,0,No
0,26,3,0,0.170609797,3000,7,0,0,0,0,No
0.631449726,53,14,0,0.506801126,8527,13,0,2,0,1,No
0.206895286,48,12,0,0.646927996,3596,5,0,1,0,0,No
0.919970043,54,19,0,0.30260529,50550,20,0,3,0,0,No
0.003040182,80,24,0,2,6670.221237,2,0,0,0,0,No
0.008825703,79,28,0,0.001692525,3544,3,0,0,0,0,No
0.9999999,61,20,0,0,3659,0,0,0,1,2,No
0.057697115,77,22,0,2002,6670.221237,3,0,1,0,0,No
0.025180825,46,13,0,0.364126653,5747,9,0,1,0,0,No
0.274786156,57,21,0,0.069725711,3900,8,0,0,0,2,No
0.093697951,65,21,0,0.229330709,5079,10,0,2,0,1,No
0.156098066,43,8,0,0.432548839,6500,4,0,1,0,3,No
0.204537405,46,11,0,0.161562361,4505,5,0,0,0,3,No
0.957423177,39,9,0,0.223993515,3700,6,1,0,0,2,No
0.291690642,67,25,0,0.527547272,7350,16,0,1,0,1,No
0.045060086,89,36,0,0.019932695,3862,6,0,0,0,0,No
0.476174608,24,1,0,0.029411765,1427,2,0,0,0,0,No
0.850282951,64,20,0,0.249908077,8158,8,0,2,0,0,No
0.003839912,86,31,0,0.001332889,3000,2,0,0,0,0,No
0.008807801,76,24,0,1261,6670.221237,8,0,1,0,0,No
0.067076063,57,15,0,0.377663984,20504,11,0,5,0,1,No
0.024823164,86,30,0,0.145788337,8333,8,0,1,0,1,No
0.253463961,61,24,1,0.437695679,4790,17,0,1,0,1,No
0.490738536,49,12,0,0.275960987,3485,5,0,0,0,1,No
0.076836927,62,15,0,1267,6670.221237,6,0,1,0,0,No
0.311965019,55,18,0,0.347165283,10000,13,0,1,0,0,No
0.016422761,83,24,0,0.005982292,4178,8,0,0,0,0,No
0.12559372,41,10,0,0.251959686,6250,5,0,1,0,2,No
0.14278912,36,6,0,0.082657048,3326,5,0,0,0,3,No
0.740814796,34,5,0,0.17247844,8000,4,2,0,0,0,No
0.452367427,49,17,0,0.711223102,12500,13,0,4,0,3,No
0.0042174,87,24,0,0.127436282,2000,4,0,0,0,0,No
0.153213451,77,23,0,0.292223095,2545,9,0,1,0,0,No
0.073004774,48,15,0,0.11043313,9996,8,0,1,0,0,No
0.453628293,36,9,0,0.614211612,16000,12,0,5,0,1,No
0.028215662,80,22,0,26,6670.221237,4,0,0,0,0,No
0.036642744,47,13,0,0.210889456,13333,8,0,2,0,2,No
1.00519896,42,11,0,0.374861835,6332,8,0,2,0,2,No
0.410715105,31,6,0,0.179377321,3500,7,0,0,0,0,No
0.086818852,37,5,0,0.271418287,8333,4,0,1,0,1,No
0.443163288,45,11,0,0.560850189,5833,13,0,1,0,1,No
2340,45,10,0,0.339332853,8333,7,0,2,0,2,No
0.28248952,33,5,1,1462,6670.221237,6,1,2,2,0,No
0.204254698,47,15,2,0.343412527,12500,10,0,1,0,2,No
0.02374947,59,18,0,0.090883991,21730,8,0,1,0,0,No
0.9999999,65,20,1,0.200574332,4526,4,1,1,0,1,No
0.049241746,84,29,0,1490,6670.221237,14,0,1,0,0,No
0.000599983,49,15,0,0.380211574,9641,11,0,3,0,0,No
0.122658489,34,7,0,0.052206339,3217,6,0,0,0,0,No
1.007165472,34,5,0,0.504332371,4500,6,0,1,0,3,No
0.058667843,28,4,0,0.166461916,3255,3,0,0,0,0,No
0.384779747,43,9,0,0.357851722,6851,10,0,1,0,1,No
0.005882215,72,20,0,0.263580638,4730,9,0,1,0,0,No
0.126374894,44,9,0,1844,6670.221237,3,0,2,0,0,No
0.13036156,66,18,0,0.008479322,12500,4,0,0,0,1,No
0.170207466,49,16,0,0.578203114,7000,9,0,2,0,0,No
0.149428286,44,11,0,0.326535369,8580,10,0,1,0,1,No
0,65,23,0,12,6670.221237,3,0,0,0,0,No
0.010392966,89,26,0,10,6670.221237,7,0,0,0,0,No
0.016687473,50,13,0,0.064738524,5946,5,0,0,0,3,No
0,71,28,0,1938,6670.221237,9,0,1,0,0,No
0.029267937,40,7,2,0.630504701,8083,9,0,4,0,2,No
0.146931279,41,9,0,1330,6670.221237,9,0,1,0,2,No
0.005973565,67,30,0,0.088982204,5000,25,0,0,0,0,No
0,75,23,0,2022,6670.221237,8,0,2,0,0,No
0.063602998,39,11,0,0.034493101,3333,17,0,0,0,2,No
0.10994004,54,18,0,0.574071835,8268,20,0,1,0,0,No
0.043353648,81,30,0,0.290526708,5372,8,0,2,0,0,No
0.123476916,42,10,0,2271,6670.221237,9,0,1,0,0,No
0.04179799,67,25,0,0.233554746,4666,12,0,1,0,0,No
0.010998331,38,10,0,0.549368143,7200,13,0,2,0,0,No
0.088703073,53,13,0,70,0,3,0,0,0,0,No
0.192347284,55,18,0,2579,6670.221237,11,0,2,0,2,No
0.579933027,45,11,0,0.304347826,7750,5,0,1,0,1,No
0.080162187,44,11,0,0.158691615,7000,7,0,1,0,0,No
0.9999999,40,6,0,0.038037775,3811,0,1,0,0,0,No
0.041821069,52,17,0,0.341548477,4300,4,0,1,0,3,No
0.06042643,50,14,0,0.176102987,8000,11,0,2,0,2,No
0.114721003,55,18,0,0.367269267,10509,9,0,1,0,0,No
0.063176075,72,22,0,0.002535818,7886,2,0,0,0,0,No
0.006276785,59,20,0,0.698825294,4000,5,0,1,0,0,No
0.371032004,55,18,0,3422,6670.221237,7,0,2,0,0,No
0.574817366,54,19,0,0.451939741,7500,8,0,2,0,0,No
0.01981868,59,21,0,0.519620095,4000,10,0,2,0,0,No
0,37,8,3,0.347937544,4290,6,0,1,0,0,No
0.449547017,66,24,0,0.91928934,3939,6,0,2,0,0,No
0.161264857,40,9,0,0.168866227,3333,5,0,0,0,3,No
0.12148597,66,23,0,1.144969556,3448,11,0,2,0,1,No
0.378147112,65,23,1,0.460961587,12000,19,0,4,0,1,No
0.082847141,61,19,0,0.071146245,4300,5,0,0,0,0,No
0.045487647,43,13,0,0.415912867,10833,16,0,1,0,2,No
0,33,6,0,0,1700,3,0,0,0,0,No
0.43517955,50,11,0,0.070767428,8534,3,0,0,0,1,No
0.401103956,40,8,0,1031,6670.221237,2,0,1,0,0,No
0.100219754,45,11,0,0.165614649,16000,15,0,2,0,1,No
0.015054719,48,12,0,0.063672261,4051,3,0,0,0,2,No
0.191626946,44,11,0,0.217756184,13583,8,0,1,0,3,No
0.093690631,50,11,1,0.00555005,5044,1,0,0,0,1,No
0.914017238,62,18,2,0.489656599,9667,7,0,2,0,3,No
0.237138845,59,18,0,0.147460087,3444,5,0,0,0,0,No
0.373931303,49,14,0,0.230198447,11589,8,0,1,0,2,No
0.119876285,60,20,0,98.80487805,40,10,0,2,0,0,No
0.849230154,37,7,0,127,6670.221237,4,0,0,0,0,No
0.251284106,34,7,0,0.75145816,8400,18,0,4,0,0,No
0.9999999,40,6,0,0.300099986,7000,2,0,1,0,0,No
0,61,17,0,0.173937256,5386,11,0,1,0,0,No
0.00411688,60,20,0,0.00116296,6878,7,0,0,0,0,No
0.070277189,47,14,0,3622,6670.221237,7,0,3,0,3,No
0.9999999,86,25,0,0.000761832,10500,5,0,0,0,0,No
0.056390008,54,17,0,2126,6670.221237,8,0,1,0,0,No
0.007099645,50,14,0,2835,6670.221237,14,0,1,0,0,No
0.058259181,65,23,0,0.108722819,4000,9,0,0,0,0,No
0.002555755,80,26,0,0.00177665,3939,11,0,0,0,0,No
0.595727038,28,3,0,0.28422024,3250,8,0,0,0,0,No
0.321469967,74,23,0,0.163178295,2579,5,0,0,0,0,No
0.004733018,70,25,0,0.135954682,3000,2,0,0,0,0,No
0.132682101,60,18,1,0.249818762,6896,10,0,1,0,0,No
