Cust_No,Gender,Title,City,County,Country,Occupation,Manufacture,OS,Tarriff,Tarriff_Type,Payment_Method,Contract_Length,AVG_of_Bill_Amount,AVG_of_OOB_Total_Charge,AVG_of_OOB_Amount_to_Total_Amoun,AVG_of_Voice_Usage,AVG_of_SMS_Usage,AVG_of_Data_Usage,Age,Churn_Fl
1000031,male,Mr.,Methil,Fife,Scotland,Fire prevention specialist,LG,Proprietary,Red Essentials Premium,Post-Pay,DD,18,84.489,19.4901277,0.227659833,501.451,728.56,6997.881,69,1
1000032,male,Mr.,Pittenweem,Fife,Scotland,Keypunch technician,LG,Proprietary,Red Premium,Post-Pay,CC,18,48.15,3.150344645,0.065301969,102.748,170.434,1194.486,74,1
1000034,male,Mr.,Camborne,Cornwall,Northern Ireland,Camp director,Apple,iOS,Red,Post-Pay,DD,24,36.58,1.578912295,0.043077338,81.6575,117.474,816.2081,37,0
1000035,male,Mr.,Holywood,County Down,England,Typesetting machine tender,Samsung,Proprietary,Red Premium,Post-Pay,CC,18,48.186,3.18577334,0.0658894,159.504,244.297,1581.7,33,0
1000036,male,Mr.,Laurencekirk,Aberdeenshire,Scotland,Billing clerk,Samsung,Android OS,Red Essentials Premium,Post-Pay,CC,18,70.827,5.827506175,0.076725618,333.497,503.98,4966.654,21,0
1000037,male,Mr.,March,Cambridgeshire,England,Industrial therapist,Nokia,MeeGo OS,Red,Post-Pay,DD,24,36.041,1.040374333,0.028800982,80.1259,144.509,689.594,36,0
1000038,male,Mr.,March,Cambridgeshire,England,Rehabilitation counselor,Samsung,Android OS,Red Premium,Post-Pay,CC,18,48.301,3.299871533,0.068065163,165.657,240.879,1620.571,18,0
1000039,female,Ms.,Sanquhar,Dumfries and Galloway,Scotland,Driver-sales worker,Motorola,Android OS,Red Essentials Premium,Post-Pay,DD,18,79.489,14.48868738,0.178836035,692.806,901.395,5490.591,53,1
1000040,male,Mr.,Brechin,Angus,Scotland,Quality assurance inspector,Apple,iOS,Red Essentials,Post-Pay,DD,24,53.574,3.574576406,0.061427454,229.442,346.416,3977.577,43,0
1000041,female,Mrs.,Fort William,Highlands,England,Skin care specialist,Samsung,Android OS,Red,Post-Pay,DD,24,36.118,1.116847783,0.030647456,113.098,120.98,673.65,38,0
1000042,female,Ms.,Kirriemuir,Angus,Scotland,Employment assistant,Samsung,Android OS,Red,Post-Pay,DD,24,37.107,2.107573178,0.0563814,114.249,124.309,657.9607,19,1
1000043,female,Ms.,Dingwall,Highlands,Scotland,Employee training specialist,Samsung,Proprietary,Red,Post-Pay,CC,24,37.895,2.892432395,0.076133661,114.536,126.929,747.3331,51,1
1000045,female,Ms.,Padstow,Cornwall,England,Regional geographer,Nokia,Symbian OS ,Red Premium,Post-Pay,DD,18,46.706,1.706348026,0.036030687,224.436,297.043,1100.784,36,0
1000048,female,Ms.,Newburgh,Fife,England,Management accountant,Nokia,Proprietary,Red Essentials Premium,Post-Pay,DD,18,66.987,1.986821493,0.028842329,500.321,626.153,3357.382,36,0
1000049,female,Mrs.,Fort William,Highlands,Scotland,Probation officer,Apple,iOS,Red,Post-Pay,DD,24,37.553,2.553191588,0.067776141,114.42,124.78,665.0445,43,1
1000050,male,Mr.,Leuchars,Fife,Scotland,Periodontist,HTC,Android OS,Red Essentials,Post-Pay,DD,24,55.529,5.528858242,0.097937701,331.438,476.043,4459.103,59,0
1000051,male,Mr.,Portsoy,Aberdeenshire,Northern Ireland,Knitting machine operator,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,78.264,13.26438464,0.167207042,473.073,708.429,8011.258,43,0
1000052,female,Mrs.,Greater Willington,County Durham,England,Custodial worker,Apple,iOS,Red,Post-Pay,DD,24,35.308,0.30935006,0.008663611,81.7087,90.6289,475.5825,38,0
1000053,male,Mr.,Newburgh,Fife,Scotland,Operations director,Samsung,Android OS,Red Super,Post-Pay,DD,24,93.335,18.33577035,0.193891655,628.006,974.887,9314.255,45,0
1000054,male,Mr.,Aylesbury,Buckinghamshire,England,Billing and posting clerk,Samsung,Android OS,Red Essentials Premium,Post-Pay,CC,18,94.545,29.54572018,0.310562969,488.174,723.883,8002.919,69,1
1000056,male,Mr.,Holywood,County Down,England,Convention services manager,Apple,iOS,Red Essentials,Post-Pay,DD,24,52.973,2.973379968,0.050270347,248.232,296.552,3599.499,54,0
1000057,female,Ms.,Stotfold,Bedfordshire,Northern Ireland,Materials engineer,Samsung,Android OS,Red Essentials,Post-Pay,CC,24,57.591,7.591038344,0.129861587,438.284,472.299,3950.124,52,0
1000058,female,Mrs.,Wormit,Fife,Scotland,Costume attendant,HTC,Android OS,Red,Post-Pay,DD,24,35.786,0.787242584,0.021812348,111.061,124.581,514.732,61,0
1000061,male,Mr.,Newbury,Berkshire,England,Border Patrol agent,Samsung,Android OS,Red,Post-Pay,DD,24,36.673,1.672434646,0.045477973,77.6284,121.949,808.4958,61,0
1000062,female,Ms.,Banbridge,County Down,Northern Ireland,Ophthalmologist,Apple,iOS,Red Essentials Premium,Post-Pay,CC,18,75.207,10.20560862,0.13388125,678.04,732.166,6669.232,23,0
1000063,male,Mr.,Broughton in Furness,Cumbria,England,Support service manager,Apple,iOS,Red,Post-Pay,DD,24,36.517,1.516447361,0.041408126,77.9426,124.575,796.8903,64,0
1000064,male,Mr.,Boddam,Aberdeenshire,England,Sales worker,Nokia,Symbian OS ,Red Premium,Post-Pay,DD,18,46.035,1.03596131,0.022057225,121.567,195.773,1094.659,19,0
1000065,male,Mr.,Dunmore,Falkirk,England,Administrative support manager,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,56.1,6.100088166,0.107701774,305.39,601.505,4047.97,18,0
1000066,female,Ms.,Kingussie,Highlands,England,Homemaker,Apple,iOS,Red,Post-Pay,DD,24,36.483,1.482749134,0.040378563,110.212,120.888,653.0274,37,0
1000067,female,Ms.,Banff and Macduff,Aberdeenshire,Scotland,Packaging and filling machine operator,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,69.338,4.3389451,0.061516603,639.671,722.391,5531.157,17,0
1000068,female,Ms.,Ballingry,Fife,England,Development specialist,Samsung,Android OS,Red Super,Post-Pay,DD,24,80.601,5.600934218,0.066081333,676.225,659.479,5697.571,45,0
1000069,male,Mr.,Inverkeithing,Fife,England,Anchor,Nokia,Symbian OS ,Red Essentials,Post-Pay,CC,24,55.516,5.515793615,0.098220375,320.633,593.848,4173.8,57,0
1000070,female,Ms.,Brechin,Angus,Scotland,Food cooking machine operator,Motorola,Android OS,Red Essentials Premium,Post-Pay,DD,18,70.978,5.976313089,0.082069852,678.164,859.926,5291.791,34,0
1000072,male,Mr.,Dingwall,Highlands,Scotland,Massage therapist,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,71.745,6.744788159,0.086502612,425.086,496.094,6317.341,16,0
1000073,male,Mr.,Falkirk,Falkirk,Scotland,Community health educator,HTC,Android OS,Red Premium,Post-Pay,DD,18,47.031,2.030953371,0.04302821,162.728,248.511,1489.906,58,0
1000074,male,Mr.,Lockerbie,Dumfries and Galloway,Scotland,Construction equipment operator,HTC,Android OS,Red,Post-Pay,DD,24,35.761,0.761445041,0.021209645,80.101,120.112,691.6347,40,0
1000075,female,Ms.,Ballingry,Fife,Scotland,Occupational social worker,Motorola,Android OS,Red Premium,Post-Pay,CC,18,46.154,1.154637547,0.024919339,223.083,295.337,1092.354,58,0
1000076,male,Mr.,Falkland,Fife,Northern Ireland,Casino cashier,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,73.35,8.349405096,0.108782284,357.074,538.08,6221.759,14,0
1000077,male,Mr.,Macduff,Aberdeenshire,Scotland,Industrial relations director,Samsung,Proprietary,Red Essentials,Post-Pay,DD,24,58.699,8.698307183,0.147192158,320.687,495.273,4834.962,41,0
1000078,male,Mr.,Kelty,Fife,Scotland,Campaign manager,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,59.543,9.542483686,0.158229293,323.791,490.802,4755.905,55,0
1000079,male,Mr.,Maud,Aberdeenshire,England,Fabric mender,Nokia,Microsoft,Red Super,Post-Pay,DD,24,85.449,10.44896271,0.120790017,657.652,1154.69,8393.28,20,0
1000080,female,Ms.,Methil,Fife,England,Coast Guard,Apple,iOS,Red Super,Post-Pay,DD,24,79.088,4.087122714,0.048768104,707.297,719.757,6293.626,53,0
1000083,female,Mrs.,Duniplace,Falkirk,Scotland,Bank teller,Nokia,Microsoft,Red Essentials Premium,Post-Pay,DD,18,72.193,7.194045034,0.098417918,650.769,861.205,5778.39,23,0
1000084,female,Mrs.,Newbridge Drive,Dumfries and Galloway,Scotland,Speech writer,Nokia,Symbian OS ,Red Essentials,Post-Pay,DD,24,50.755,0.754391721,0.014603575,308.934,425.955,2387.398,58,0
1000086,male,Mr.,Boddam,Aberdeenshire,England,Ground controller,Nokia,MeeGo OS,Red Super  Premium,Post-Pay,DD,18,111.72,11.71692747,0.103672714,787.247,1422.45,9952.812,28,0
1000087,female,Mrs.,Pitcoudie,Fife,Scotland,Full-charge bookkeeper,Nokia,Symbian OS ,Red,Post-Pay,DD,24,35.763,0.762848881,0.021109925,109.149,148.96,542.4111,26,0
1000088,female,Mrs.,Oldmeldrum,Aberdeenshire,Scotland,Fish hatchery manager,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,66.403,1.40220431,0.02039581,438.122,569.86,4373.892,43,0
1000089,male,Mr.,Kinghorn,Fife,Scotland,Vending machine servicer,Nokia,Symbian OS ,Red,Post-Pay,DD,24,35.894,0.894914843,0.024852746,80.8045,144.067,688.669,21,0
1000090,male,Mr.,Dunmore,Falkirk,England,Navy,Nokia,Microsoft,Red Essentials,Post-Pay,CC,24,56.777,6.776057932,0.118414015,319.791,585.607,4035.129,61,0
1000091,female,Ms.,Monifieth,Angus,Scotland,Pediatric dentist,Google,Android OS,Red Essentials Premium,Post-Pay,DD,18,72.118,7.116246057,0.094890521,648.943,712.685,5488.798,50,0
1000092,male,Mr.,Newbridge Drive,Dumfries and Galloway,Scotland,Survey researcher,Apple,iOS,Red Essentials,Post-Pay,DD,24,52.967,2.967038064,0.050921469,229.59,374.629,3498.626,27,0
1000093,male,Mr.,Menstrie,Clackmannanshire,England,Emergency medical technician,Google,Android OS,Red Essentials Premium,Post-Pay,DD,18,72.696,7.695269192,0.104189522,498.879,724.43,7151.508,31,0
1000094,male,Mr.,Pittenweem,Fife,England,International economist,Samsung,Proprietary,Red Essentials,Post-Pay,DD,24,59.393,9.393930865,0.157164294,326.517,486.576,4980.316,27,0
1000095,male,Mr.,Oldmeldrum,Aberdeenshire,Scotland,Immigration and Naturalization Service (INS) agent,LG,Proprietary,Red Essentials,Post-Pay,DD,24,54.915,4.915071048,0.088249359,324.44,479.868,4079.843,40,0
1000096,female,Ms.,Porthleven,Cornwall,England,Range conservationist,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,50.474,0.474100246,0.009115539,340.214,458.203,2615.119,26,0
1000097,female,Ms.,Wormit,Fife,England,Electronic data processor,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,73.802,8.802466854,0.117862272,645.71,724.863,6638.393,37,0
1000098,male,Mr.,Auchtermuchty,Fife,Scotland,Animator,ZTE,Android OS,Red Essentials Premium,Post-Pay,DD,18,74.942,9.942586327,0.130304438,484.996,724.042,6704.478,26,0
1000099,male,Mr.,Maud,Aberdeenshire,Scotland,Human resources analyst,ZTE,Android OS,Red,Post-Pay,DD,24,36.023,1.022871513,0.028290503,80.1388,124.266,695.7574,28,0
1000101,male,Mr.,Pittenweem,Fife,Scotland,Certified athletic trainer,HTC,Android OS,Red,Post-Pay,DD,24,36.054,1.053175607,0.029087512,79.9573,122.239,666.8142,43,0
1000102,male,Mr.,Falkland,Fife,Scotland,Scientific illustrator,Apple,iOS,Red Essentials,Post-Pay,DD,24,58.458,8.457151887,0.143482107,317.029,508.34,4612.216,37,0
1000107,male,Mr.,Greenisland,County Antrim,England,Casino cage worker,Samsung,Android OS,Red,Post-Pay,DD,24,36.692,1.692769875,0.045987069,82.3638,122.595,845.9488,37,0
1000108,male,Mr.,Kirkcudbright,Dumfries and Galloway,Scotland,Personnel services specialist,HTC,Android OS,Red Essentials Premium,Post-Pay,DD,18,69.58,4.580599273,0.060510568,378.219,523.376,3891.48,23,0
1000109,male,Mr.,Camborne,Cornwall,England,Payroll technician,HTC,Android OS,Red Essentials Premium,Post-Pay,CC,18,75.158,10.15686581,0.13352492,481.414,740.338,6909.962,39,0
1000111,female,Ms.,Moffat,Dumfries and Galloway,England,Computer support specialist,Motorola,Android OS,Red,Post-Pay,DD,24,35.873,0.874236951,0.024260965,110.315,145.004,561.644,27,0
1000112,female,Ms.,March,Cambridgeshire,England,Electromechanical equipment assembler,Apple,iOS,Red Essentials,Post-Pay,DD,24,51.932,1.931297525,0.035702654,345.822,423.235,3109.338,49,0
1000113,male,Mr.,Holywood,County Down,Northern Ireland,Merchandise displayer,Apple,iOS,Red Super,Post-Pay,DD,24,92.764,17.76585642,0.188896032,645.003,950.246,9023.775,33,0
1000114,female,Ms.,Methil,Fife,England,Machinist,LG,Proprietary,Red Essentials Premium,Post-Pay,CC,18,69.773,4.773808023,0.066669186,655.959,741.68,5693.799,55,0
1000115,female,Mrs.,Downpatrick,County Down,Northern Ireland,Manifold binding worker,Motorola,Android OS,Red Essentials Premium,Post-Pay,CC,18,71.062,6.062442837,0.083867719,663.318,862.339,5630.215,18,0
1000116,male,Mr.,Merville Garden Village,County Antrim,Northern Ireland,Phlebotomist,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,70.932,5.932304238,0.07514531,332.769,480.01,5828.481,27,0
1000117,male,Mr.,Stotfold,Bedfordshire,Northern Ireland,Health psychologist,Nokia,Proprietary,Red Premium,Post-Pay,CC,18,47.26,2.260333948,0.047697903,158.157,285.677,1338.73,27,0
1000118,female,Mrs.,Banbridge,County Down,Northern Ireland,Nail care technician,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,53.806,3.806103196,0.069638042,439.098,576.316,3028.169,30,0
1000119,female,Ms.,Coalisland,County Tyrone,Northern Ireland,Human resources supervisor,Samsung,Android OS,Red Super,Post-Pay,DD,24,89.421,14.42123044,0.159766067,863.123,978.164,8367.444,31,0
1000120,female,Dr.,Padstow,Cornwall,England,Medical writer,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,69.433,4.43380004,0.061528113,490.317,542.575,4481.57,41,0
1000122,male,Mr.,Bonnybridge,Falkirk,England,Long-term care facility nurse,Apple,iOS,Red Super,Post-Pay,DD,24,95.324,20.32257914,0.21112427,651.117,987.987,9359.585,23,0
1000123,male,Mr.,Newburgh,Fife,England,Dental surgery doctor,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,79.823,14.82460015,0.18385652,484.904,715.612,7979.794,40,0
1000124,female,Ms.,Banbridge,County Down,Northern Ireland,Shampooer,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,69.159,4.159694483,0.057018153,492.575,524.649,3570.982,52,0
1000126,male,Mr.,Portsoy,Aberdeenshire,England,Physicist,Apple,iOS,Red Essentials,Post-Pay,CC,24,59.074,9.074145673,0.152953991,313.568,482.95,5001.51,34,0
1000127,female,Mrs.,Greater Willington,County Durham,England,Software engineer,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,75.818,10.81882457,0.139648317,667.261,722.841,6951.163,59,0
1000128,male,Mr.,Duniplace,Falkirk,Northern Ireland,Employment and placement manager,Apple,iOS,Red Essentials,Post-Pay,DD,24,53.264,3.26464502,0.057719473,213.48,387.878,3384.263,29,0
1000131,female,Ms.,High Wycombe,Buckinghamshire,England,Residence leasing agent,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,55.406,5.405179405,0.096043936,444.97,587.163,3321.512,20,0
1000132,female,Ms.,Anstruther,Fife,England,Information specialist,Samsung,Android OS,Red Super,Post-Pay,DD,24,79.548,4.549013679,0.055212197,632.812,695.974,5499.143,40,0
1000133,female,Mrs.,Banbridge,County Down,Northern Ireland,U.S. Secret Service agent,Samsung,Proprietary,Red,Post-Pay,DD,24,36.2,1.198662481,0.033033569,112.08,122.115,638.2595,48,0
1000134,male,Mr.,Camborne,Cornwall,England,Psychiatrist,HTC,Android OS,Red,Post-Pay,DD,24,35.978,0.978375557,0.027123662,80.2997,120.789,684.0161,30,0
1000135,female,Ms.,Macduff,Aberdeenshire,England,Staffing coordinator,Motorola,Proprietary,Red Premium,Post-Pay,CC,18,49.868,4.867801083,0.096704186,242.597,301.567,1056.506,42,1
1000136,female,Mrs.,Haddington,Lothian,Scotland,Sewer pipe cleaner,Nokia,Proprietary,Red Essentials,Post-Pay,DD,24,51.207,1.206785104,0.02330808,338.4,388.543,2386.603,45,1
1000137,male,Mr.,Portadown,County Armagh,Northern Ireland,Deck officer,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,82.313,17.31292985,0.208668463,473.763,742.842,8386.07,34,0
1000138,male,Mr.,Broughton in Furness,Cumbria,England,Slaughterer,Nokia,MeeGo OS,Red,Post-Pay,DD,24,36.105,1.105058954,0.030528254,77.8816,139.865,686.7162,34,0
1000139,male,Mr.,Boddam,Aberdeenshire,England,Payroll coordinator,Samsung,Android OS,Red Essentials Premium,Post-Pay,CC,18,78.667,13.66748254,0.172580653,468.925,722.902,7773.04,28,0
1000140,male,Mr.,Dunmore,Falkirk,England,Ceiling tile installer,Samsung,Android OS,Red Essentials,Post-Pay,DD,24,54.552,4.550773325,0.078754726,236.337,337.357,3695.801,46,0
1000141,female,Mrs.,Greenisland,County Antrim,Northern Ireland,Water transportation master,Nokia,Microsoft,Red Essentials,Post-Pay,DD,24,52.913,2.914465372,0.053729565,447.346,598.06,3242.438,20,0
1000142,female,Mrs.,Dollar,Clackmannanshire,Scotland,Occupational health and safety specialist,HTC,Android OS,Red Premium,Post-Pay,DD,18,46.753,1.753577887,0.037284471,217.441,240.787,1069.014,30,0
1000144,male,Mr.,Inverkeithing,Fife,England,Electrical and electronic equipment assembler,Apple,iOS,Red Essentials Premium,Post-Pay,DD,18,71.673,6.674300461,0.083732365,366.658,541.887,5985.418,44,0
1000145,male,Mr.,Glenrothes,Fife,England,Automotive body repairer,HTC,Android OS,Red Super  Premium,Post-Pay,DD,18,110.79,10.79070725,0.095842605,790.436,1221.06,9877.101,18,0
1000147,female,Mrs.,Moffat,Dumfries and Galloway,Northern Ireland,Manifold binding worker,Nokia,Microsoft,Red Essentials,Post-Pay,DD,24,54.49,4.490067038,0.080998904,434.376,582.944,3379.365,47,0
1000148,male,Mr.,Sanquhar,Dumfries and Galloway,Scotland,News correspondent,Nokia,Symbian OS ,Red Essentials,Post-Pay,DD,24,50.508,0.507111937,0.009982309,281.345,475.242,2711.241,45,1
1000149,female,Mrs.,North Berwick,Lothian,England,Farmer,Samsung,Proprietary,Red Essentials Premium,Post-Pay,DD,18,77.178,12.17825943,0.155395162,641.3,723.551,6920.713,20,0
1000150,male,Mr.,Brora,Highlands,Scotland,Driver-sales worker,Apple,iOS,Red Essentials Premium,Post-Pay,CC,18,79.765,14.76465525,0.181945867,479.965,726.318,8292.272,30,0
1000151,male,Mr.,Falkland,Fife,England,Switchboard operator,Motorola,Android OS,Red Essentials Premium,Post-Pay,DD,18,75.703,10.70483992,0.140060767,499.382,858.777,6953.678,61,0
1000154,male,Mr.,Lockerbie,Dumfries and Galloway,Scotland,Traffic technician,Samsung,Proprietary,Red Super,Post-Pay,DD,24,95.361,20.36186998,0.211033378,640.173,934.535,9333.598,51,0
1000155,male,Mr.,Methil,Fife,England,Textile knitting and weaving machine setter,Nokia,Symbian OS ,Red Premium,Post-Pay,CC,18,46.858,1.858873366,0.039495062,164.615,289.745,1344.979,33,0
1000156,male,Mr.,Pittenweem,Fife,England,Credit reporter,Google,Android OS,Red Essentials,Post-Pay,CC,24,51.229,1.230628006,0.023059066,202.894,374.547,2856.752,43,0
1000158,male,Mr.,Sanquhar,Dumfries and Galloway,England,Maintenance electrician,Samsung,Android OS,Red Essentials,Post-Pay,CC,24,65.209,15.20740384,0.227093269,349.242,504.093,4833.028,29,1
1000159,female,Ms.,Newport on Tay,Fife,Scotland,Plating and coating machine tender,Apple,iOS,Red Super  Premium,Post-Pay,CC,18,138.62,38.61279252,0.275332863,1162.6,1217.81,9989.374,23,1
1000160,female,Mrs.,Wick,Highlands,Scotland,Criminal lawyer,Nokia,MeeGo OS,Red Premium,Post-Pay,DD,18,45.296,0.295631566,0.006366383,176.187,223.892,845.0435,18,0
1000161,male,Mr.,Boddam,Aberdeenshire,England,Piano tuner,LG,Proprietary,Red Super  Premium,Post-Pay,DD,18,114.61,14.6075428,0.126203622,798.829,1214.28,9471.139,48,0
1000163,female,Ms.,Tranent,East Lothian,Scotland,Land surveyor,HTC,Android OS,Red Essentials,Post-Pay,DD,24,55.298,5.296194597,0.095224466,437.489,493.733,3247.159,34,0
1000164,male,Mr.,Fort William,Highlands,England,Cooking instructor,Nokia,Proprietary,Red Essentials,Post-Pay,CC,24,51.91,1.909542071,0.035154455,227.723,426.954,2674.482,61,0
1000166,female,Mrs.,Arbroath,Angus,Scotland,Sheriff,Samsung,Android OS,Red,Post-Pay,DD,24,36.244,1.244677814,0.034195655,108.131,121.289,692.28,20,0
1000167,male,Mr.,Newlyn,Cornwall,England,Division secretary,Google,Android OS,Red Premium,Post-Pay,DD,18,46.693,1.693151781,0.036054087,158.902,243.736,1420.263,39,0
1000168,male,Mr.,Newlyn,Cornwall,Scotland,Range ecologist,ZTE,Android OS,Red Super  Premium,Post-Pay,DD,18,114.33,14.33618559,0.120910178,507.721,860.9,7848.076,50,1
1000169,male,Mr.,Pittenweem,Fife,England,Molder,Nokia,Proprietary,Red Premium,Post-Pay,DD,18,46.91,1.910175856,0.040620196,161.429,278.974,1489.197,59,0
1000170,female,Ms.,Falkland,Fife,Scotland,Human resources representative,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,77.45,12.45114344,0.15801995,649.819,708.747,6493.134,40,0
1000171,male,Mr.,Porthleven,Cornwall,England,Home entertainment service technician,Samsung,Android OS,Red Essentials Premium,Post-Pay,CC,18,95.81,30.81251419,0.32160019,521.728,740.882,6832.951,26,1
1000172,male,Mr.,Wormit,Fife,England,Dental assistant,Google,Android OS,Red Essentials,Post-Pay,DD,24,51.268,1.26739865,0.022767435,211.658,352.953,3613.144,23,0
1000173,male,Mr.,Westhill,Aberdeenshire,England,Material recording,Samsung,Proprietary,Red Premium,Post-Pay,CC,18,47.968,2.967666067,0.061584759,159.799,240.33,1607.672,43,0
1000175,male,Mr.,Menstrie,Clackmannanshire,Scotland,Nuclear power reactor operator,Samsung,Proprietary,Red Essentials,Post-Pay,DD,24,59.27,9.270312955,0.155418872,319.681,482.098,4688.605,62,0
1000177,male,Mr.,Merville Garden Village,County Antrim,England,Plumber,Samsung,Android OS,Red Essentials Premium,Post-Pay,DD,18,82.01,17.01037028,0.204753186,491.053,739.486,8277.949,66,0
